Sr_No,Bank,No_of_Transactions,Total_Amount,Active_Customers_Count,Month,Year,Category
5691,THE PANIPAT CENTRAL COOPERATIVE BANK LTD,662,25457.86,848,September,2024,Mobile Banking
5692,THE PANIPAT URBAN CO-OPERAIVE BANK LTD.,137628,3147047.75,6906,September,2024,Mobile Banking
5693,THE PIMPALGAON MERCHANT COOPERATIVE BANK LTD,1327,51120.67,246,September,2024,Mobile Banking
5694,THE PONANI CO-OPERATIVE URBAN BANK LTD,11,36.95,7,September,2024,Mobile Banking
5695,THE PRATAP CO-OP. BANK LTD,1187,22957.35,270,September,2024,Mobile Banking
5696,THE PUDDUKOTTAI DISTRICT CENTRAL COOEPRATIVE BANK LTD,140062,212839.85,33,September,2024,Mobile Banking
5697,THE PUNJAB STATE COOPERATIVE BANK LTD,3456,39076.75,737,September,2024,Mobile Banking
5698,"THE RAILWAY EMP CO-OP BANK LTD., JAIPUR",2243,182923.68,181,September,2024,Mobile Banking
5699,"THE RAIPUR URBAN MERCANTILE CO-OP BANK LTD, RAIPUR (C.G.)",344,12477.4,43,September,2024,Mobile Banking
5700,THE RAJASTHAN STATE CO-OPERATIVE BANK LTD.,32647,110494.39,1027,September,2024,Mobile Banking
5701,THE RAJKOT COMMERCIAL CO-OPERATIVE BANK LTD,4471,424187.41,583,September,2024,Mobile Banking
5702,THE RANDER PEOPLES CO OP BANK LTD,659,16203.78,111,September,2024,Mobile Banking
5703,THE RANUJ NAGRIK SAHAKARI BANK LTD,2101,123029.85,602,September,2024,Mobile Banking
5704,"THE RAYAT SEVAK CO-OPERATIVE BANK LTD., SATARA",3714,34123.89,2038,September,2024,Mobile Banking
5705,THE SABARKANTHA DIST. CENTRAL CO-OP BANK LTD.,28239,1770752.32,25812,September,2024,Mobile Banking
5706,THE SALEM DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,429,4848.48,287,September,2024,Mobile Banking
5707,THE SANGAMNER MERCHANTS CO-OP. BANK LTD.,106372,586023.72,699,September,2024,Mobile Banking
5708,THE SANKHEDA NAGARIK SAHAKARI BANK LTD,403,17858.27,59,September,2024,Mobile Banking
5709,THE SANTRAMPUR URBAN CO OP BANK LTD,851,94027.72,443,September,2024,Mobile Banking
5710,THE SARANGPUR CO OP BANK LTD,1785,146081.12,602,September,2024,Mobile Banking
5711,"THE SARDARGUNJ MERCANTILE CO OP BANK LTD,PATAN",1241,133018.26,200,September,2024,Mobile Banking
5712,THE SARVODAYA SAHAKARI BANK LTD MODASA,25478,159573.09,1054,September,2024,Mobile Banking
5713,"THE SARVODAYA SAHAKARI BANK LTD.,SURAT",15248,1047447.21,5424,September,2024,Mobile Banking
5714,"THE SATARA DCC BANK LTD., SATARA",43760,885719.85,9638,September,2024,Mobile Banking
5715,THE SAURASHTRA CO-OPERATIVE BANK LTD.,46983,310064.55,3448,September,2024,Mobile Banking
5716,THE SHAHADA PEOPLES CO OP BANK LTD SHAHADA,29296,170421.25,310,September,2024,Mobile Banking
5717,THE SHILLONG CO-OPERATIVE URBAN BANK LTD,3128,57085.45,2381,September,2024,Mobile Banking
5718,THE SHIRPUR PEOPLES CO-OP BANK LTD.,13688,160849.47,2508,September,2024,Mobile Banking
5719,THE SIRSI URBAN SAHAKARI BANK LTD,1382,35304.41,244,September,2024,Mobile Banking
5720,THE SONEPAT CENTRAL CO-OP BANK LTD. SONEPAT,440,10962.3,474,September,2024,Mobile Banking
5721,THE SSK CO OPERTIVE BANK LTD,48294,102803.19,58,September,2024,Mobile Banking
5722,THE SULTAN'S BATTERY CO-OPERATIVE URBAN BANK LTD. ,1317,8021.38,2861,September,2024,Mobile Banking
5723,THE SURAT DISTRICT CO-OP BANK LTD.,27312,1537854.79,5365,September,2024,Mobile Banking
5724,THE SURAT MERCANTILE CO OP BANK LTD,7029,416277.67,806,September,2024,Mobile Banking
5725,THE SURAT PEOPLE'S CO-OPERATIVE BANK LTD,864991,15734832,803,September,2024,Mobile Banking
5726,THE SUTEX CO-OP BANK LTD,50986,2608641.56,4693,September,2024,Mobile Banking
5727,THE TAMIL NADU INDUSTRIAL CO-OPERATIVE BANK LTD.,1831,14326.08,2392,September,2024,Mobile Banking
5728,THE THANE DISTRICT CENTRAL CO.OP.BANK LTD,21871,281786.18,5032,September,2024,Mobile Banking
5729,THE THANJAVUR CENTRAL CO-OPERATIVE BANK LTD,94,540.3,302,September,2024,Mobile Banking
5730,"THE THOOTHUKUDI DISTRICT CENTRAL COOPERATIVE BANK LIMITED.,",62,450.37,34,September,2024,Mobile Banking
5731,THE TIRUCHIRAPPALLI  DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,541,5305.1,402,September,2024,Mobile Banking
5732,THE UDAIPUR MAHILA SAMRIDHI URBAN CO-OP. BANK LTD.,47140,158390.62,1883,September,2024,Mobile Banking
5733,THE UDAIPUR MAHILA URBAN CO- OP BANK LTD ,80589,163550.94,2464,September,2024,Mobile Banking
5734,THE UDAIPUR URBAN COOPERATIVE BANK LTD.,85931,601898.43,4143,September,2024,Mobile Banking
5735,THE UDUPI CO-OPERATIVE TOWN BANK LTD.,573,6651.58,133,September,2024,Mobile Banking
5736,THE UMRETH URBAN CO-OPERATICE BANK LTD,5439,73019.97,843,September,2024,Mobile Banking
5737,THE UNA PEOPLE'S CO-OP. BANK LTD.,1282,75202.16,458,September,2024,Mobile Banking
5738,THE UNION CO-OP. BANK LTD,43565,431524.86,745,September,2024,Mobile Banking
5739,"THE URBAN CO-OP. BANK LTD., DHARANGAON",152500,170169.09,2785,September,2024,Mobile Banking
5740,THE VAISH COOPERATIVE NEW BANK LTD,306,13507.38,302,September,2024,Mobile Banking
5741,THE VALLABH VIDYANAGAR COMMERCIAL CO.OPERATIVE BANK LTD,2951,182991.21,483,September,2024,Mobile Banking
5742,"THE VARACHHA CO-OP. BANK LTD., SURAT",77006,4813634.03,12216,September,2024,Mobile Banking
5743,THE VELLORE DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,649,6419.83,345,September,2024,Mobile Banking
5744,THE VERAVAL MERCANTILE CO-OPERATIVE BANK LTD ,28552,1043325.19,1409,September,2024,Mobile Banking
5745,THE VERAVAL PEOPLES CO OP BANK LTD ,15126,614945.1,2934,September,2024,Mobile Banking
5746,THE VIJAY CO-OPERATIVE BANK LTD.,10524,598546.86,1645,September,2024,Mobile Banking
5747,"THE VIRUDHUNAGAR DISTRICT CENTRAL COOPERATIVE BANK LTD.,",52,181.16,36,September,2024,Mobile Banking
5748,"THE VISHWESHWAR SAHAKARI BANK LTD., PUNE",859329,1336925,1518,September,2024,Mobile Banking
5749,THE WASHIM URBAN CO-OPERATIVE BANK LTD,1598,53222.02,299,September,2024,Mobile Banking
5750,THE WEST BENGAL STATE COOPERATIVE BANK LTD.,7323,80352.61,3879,September,2024,Mobile Banking
5751,THE YAMUNA NAGAR CENTRAL COOPERATIVE BANK LTD.,347,6100.85,347,September,2024,Mobile Banking
5752,THE ZOROASTIAN CO-OPERATIVE BANK LTD,28425,223759.18,2299,September,2024,Mobile Banking
5753,THE NEW URBAN CO-OP. BANK LTD. - RAMPUR,111377,609430.86,2767,September,2024,Mobile Banking
5754,TIRUNELVELI DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,116,1431.19,675,September,2024,Mobile Banking
5755,"TIRUPATI URBAN CO-OP. BANK LTD., NAGPUR",5502,113615.97,1073,September,2024,Mobile Banking
5756,TIRUVANNAMALAI DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,203,1591.08,203,September,2024,Mobile Banking
5757,TJSB SAHAKARI BANK LTD,9485270,13022197.45,12738,September,2024,Mobile Banking
5758,TRIPURA GRAMIN BANK,2463863,3052486.34,2538,September,2024,Mobile Banking
5759,TRIPURA STATE CO-OPERATIVE BANK LTD.,288056,545110.63,19639,September,2024,Mobile Banking
5760,TUMKUR GRAIN MERCHANTS CO-OP. BANK LTD.,4713,280510.52,1149,September,2024,Mobile Banking
5761,U.P. CO-OPERATIVE BANK LTD,137048,204807.48,230,September,2024,Mobile Banking
5762,UCO BANK,187624518,254488614.5,572325,September,2024,Mobile Banking
5763,UJJIVAN SMALL FINANCE BANK LIMITED,43519338,63878934.1,1524969,September,2024,Mobile Banking
5764,UMA CO OPERATIVE BANK LTD.,2536,16521.9,71,September,2024,Mobile Banking
5765,UMIYA URBAN CO-OPERATIVE BANK MARYADIT,98,885.48,33,September,2024,Mobile Banking
5766,UNION BANK OF INDIA,969805517,1636000660,3258037,September,2024,Mobile Banking
5767,UNITY SMALL FINANCE BANK LIMITED,103730,804048.28,7881,September,2024,Mobile Banking
5768,UNJHA NAGARIK SAHAKARI BANK LTD.,8577,1062560.28,1011,September,2024,Mobile Banking
5769,URBAN COOPERATIVE BANK LTD. BAREILLY,142956,332793.35,7537,September,2024,Mobile Banking
5770,UTKARSH SMALL FINANCE BANK,325548,9308950.34,40108,September,2024,Mobile Banking
5771,UTTARAKHAND GRAMIN BANK,77790,1831082.16,12306,September,2024,Mobile Banking
5772,VAISHYA NAGARI SAHA BANK LTD PARBHANI,42616,1450956.04,644,September,2024,Mobile Banking
5773,"VAISHYA SAHAKARI BANK LTD.,MUMBAI",912,12534.27,179,September,2024,Mobile Banking
5774,"VALMIKI URBAN CO OP BANK LTD.,PATHRI",140408,111163.37,34,September,2024,Mobile Banking
5775,"VALSAD DISTRICT CENTRAL CO-OP BANK LTD., VALSAD",176499,299081.83,460,September,2024,Mobile Banking
5776,VARDHAMAN (MAHILA) CO-OPERATIVE URBAN BANK LTD,52292,119861.53,184,September,2024,Mobile Banking
5777,VASAI JANATA SAHAKARI BANK LTD.,9944,454551.27,10159,September,2024,Mobile Banking
5778,VASAI VIKAS SAHAKARI BANK LTD.,1060684,1925936.56,2418,September,2024,Mobile Banking
5779,VEERASHAIVA SAHAKARI BANK LTD,12866,55954.31,4047,September,2024,Mobile Banking
5780,VIDARBHA MERCHANTS URBAN CO-OP BANK LTD.,22077,688659.27,132,September,2024,Mobile Banking
5781,VIDYASAGAR CENTRAL COOPERATIVE BANK LTD MIDNAPORE,8453,121343.76,5341,September,2024,Mobile Banking
5782,VIJAY COMMERCIAL CO-OP. BANK LTD. RAJKOT,24970,164622.41,457,September,2024,Mobile Banking
5783,"VIJAYAPURA DCC BANK LTD., VIJAYAPURA",4600,339675.6,1493,September,2024,Mobile Banking
5784,VIKAS SOUHARDA CO-OPERATIVE BANK LTD.,327463,1112247.66,8912,September,2024,Mobile Banking
5785,VIKRAMADITYA NAGRIK SAHAKARI BANK,14777,370481.16,677,September,2024,Mobile Banking
5786,"VILAS CO-OPERATIVE BANK LTD.,LATUR.",2029,13824.44,668,September,2024,Mobile Banking
5787,VILLUPURAM DISTRICT CENTRAL COOPERATIVE BANK LTD.,334,5067.35,162,September,2024,Mobile Banking
5788,WANA NAGRIK SAHAKARIBANK LTD HINGANGHAT,250,34029.01,55,September,2024,Mobile Banking
5789,WARANGAL URBAN COOP BANK LTD,82466,198653.23,334,September,2024,Mobile Banking
5790,WARDHA ZILLA PARISHAD EMPLOYEES URBAN COOPERATIVE BANK LTD WARDHA,44,111.41,57,September,2024,Mobile Banking
5791,WARDHAMAN URBAN CO-OP BANK LTD.,792,20384.92,104,September,2024,Mobile Banking
5792,WOORI BANK,780,43533.78,578,September,2024,Mobile Banking
5793,YES BANK LIMITED,87932578,216150983.3,555541,September,2024,Mobile Banking
5794,A P MAHESH CO-OP URBAN BANK LTD,13285,480482.13,6832,October,2024,Mobile Banking
5795,"ABHINANDAN URBAN CO-OP BANK LTD., AMRAVATI",29628,241866.27,309,October,2024,Mobile Banking
5796,"ABHINAV SAHAKARI BANK LTD, DOMBIVALI",11105,235001.96,1645,October,2024,Mobile Banking
5797,ABHYUDAYA CO-OP. BANK LTD.,9253093,10723757.34,256212,October,2024,Mobile Banking
5798,"ADARNIYA P D PATILSAHEB SAHAKARI BANK LTD., KARAD",102176,153922.71,3351,October,2024,Mobile Banking
5799,ADARSH CO-OPERATIVE BANK,433110,3680901.56,16851,October,2024,Mobile Banking
5800,AGRASEN BANK,4190,211813.27,531,October,2024,Mobile Banking
5801,"AHMEDNAGAR MERCHANTS CO-OP. BANK LTD., AHMEDNAGAR",15667,872443.79,1548,October,2024,Mobile Banking
5802,AHMEDNAGAR SHAHAR SAHAKARI BANK LTD.,1343,24849.3,2538,October,2024,Mobile Banking
5803,AIRTEL PAYMENTS BANK,459265665,271313229.7,17125808,October,2024,Mobile Banking
5804,"AKHAND ANAND CO-OP. BANK LTD., SURAT",11145,647143.35,1046,October,2024,Mobile Banking
5805,ALAVI CO OPERATIVE BANK LTD,1205,53167.86,27,October,2024,Mobile Banking
5806,"AMAN SAH BANK LTD.,ICHALKARANJI",138,7630.78,63,October,2024,Mobile Banking
5807,AMARNATH CO. OPERATIVE BANK LTD.,231,17350.24,63,October,2024,Mobile Banking
5808,"AMBAJOGAI PEOPLES CO OP BANK LTD.,AMBAJOGAI",378088,724871.69,616,October,2024,Mobile Banking
5809,AMBARNATH JAI-HIND CO-OPERATIVE BANK LTD.,7928,209174.9,1393,October,2024,Mobile Banking
5810,AMRELI JILLA MADHYASTHA SAHAKARI BANK LTD.,395031,1678334.44,17720,October,2024,Mobile Banking
5811,AMRELI NAGARIK SAHAKARI BANK LTD.,11167,144093.38,145,October,2024,Mobile Banking
5812,ANDHRA PRADESH GRAMEENA VIKAS BANK,119657,5058409.07,49000,October,2024,Mobile Banking
5813,APNA SAHAKARI BANK LTD.,210548,2577452.24,6291,October,2024,Mobile Banking
5814,"APPASAHEB BIRNALE SAHAKARI BANK LTD, DUDHGAON",1111,18105.94,224,October,2024,Mobile Banking
5815,ARIHANT URBAN COOP BANK LTD,37,1057.04,54,October,2024,Mobile Banking
5816,ARVIND SAHAKARI BANK LTD,253420,692013.04,547,October,2024,Mobile Banking
5817,ARYAVART BANK,1553928,3064970.5,122256,October,2024,Mobile Banking
5818,ASSAM GRAMIN VIKASH BANK,3684469,3821679.81,24147,October,2024,Mobile Banking
5819,ASSOCIATE CO-OP BANK LTD.,170173,1054664.8,1074,October,2024,Mobile Banking
5820,AU SMALL FINANCE BANK LIMITED,52491109,279669780.4,381321,October,2024,Mobile Banking
5821,AXIS BANK LTD,776695318,2278350302,5056533,October,2024,Mobile Banking
5822,BALASINOR NAG SAH BANK LTD,13137,99355.35,366,October,2024,Mobile Banking
5823,BALITIKURI COOPERATIVE BANK LTD,5712,11346.24,239,October,2024,Mobile Banking
5824,BALOTRA URBAN CO-OPERATIVE BANK LTD.,93136,860079.73,2231,October,2024,Mobile Banking
5825,BALUSSERI CO OPERATIVE URBAN BANK LTD ,12,232.62,12,October,2024,Mobile Banking
5826,BANASKANTHA DISTRICT CENTRAL CO-OP. BANK LTD.,35307,2615795.26,97,October,2024,Mobile Banking
5827,BANDHAN BANK,72313254,223235950.9,313179,October,2024,Mobile Banking
5828,BANK OF BAHRAIN & KUWAIT B S C,634,7803.03,152,October,2024,Mobile Banking
5829,BANK OF BARODA,1081808276,1822617351,2786087,October,2024,Mobile Banking
5830,BANK OF INDIA,506264875,730681459.6,380231,October,2024,Mobile Banking
5831,BANK OF MAHARASHTRA,276157607,509964938.6,249636,October,2024,Mobile Banking
5832,BARAN NAGRIK SAHKARI BANK LTD.,35459,550195.33,1925,October,2024,Mobile Banking
5833,BARODA UP GRAMIN BANK,325927,8194028.25,1189325,October,2024,Mobile Banking
5834,BASODA NAGRIK SAHAKARI BANK MYDT BASODA,280,6002.37,51,October,2024,Mobile Banking
5835,BASSEIN CATHOLIC CO-OP. BANK LTD,85837,7233872.94,21450,October,2024,Mobile Banking
5836,BHADRADRI CO OPERATIVE URBAN BANK LTD,243578,422440.27,218,October,2024,Mobile Banking
5837,"BHAGINI NIVEDITA SAHAKARI BANK LTD., PUNE",747671,1039075.54,29016,October,2024,Mobile Banking
5838,BHARAT BANK COOPERATIVE (MUM) LTD.,6887683,20475050.6,44383,October,2024,Mobile Banking
5839,BHAVANA RISHI COOPERATIVE URBAN BANK LTD,1357,55295.45,1357,October,2024,Mobile Banking
5840,BHAVANI URBAN CO-OP.BANK LTD.GEORAI DIST.BEED ,64396,83978.52,987,October,2024,Mobile Banking
5841,BHAVNAGAR DISTRICT CO-OPERATIVE BANK LTD,8245,326360.41,11771,October,2024,Mobile Banking
5842,BHILWARA URBAN COOPERATIVE BANK LTD,30482,105604.75,750,October,2024,Mobile Banking
5843,BOMBAY MERCANTILE CO-OPERATIVE BANK LIMITED,543012,1820211.68,1646,October,2024,Mobile Banking
5844,BRAMHAPURI URBAN CO-OP BANK LTD.,204,9826.65,54,October,2024,Mobile Banking
5845,C G RAJYA SAHAKARI BANK (MYDT),92239,184127.39,1446,October,2024,Mobile Banking
5846,CANARA BANK,805183277,1907660830,1801295,October,2024,Mobile Banking
5847,CAPITAL SMALL FINANCE BANK LIMITED,1476427,8417606.79,18921,October,2024,Mobile Banking
5848,CATHOLIC SYRIAN BANK LIMITED,8360295,22720448.32,62581,October,2024,Mobile Banking
5849,CENTRAL BANK OF INDIA,240427090,485122751.3,378283,October,2024,Mobile Banking
5850,CHAITANYA GODAVARI GRAMEENA BANK,6464596,8752401.19,221624,October,2024,Mobile Banking
5851,CHIKKAMAGALURU DISTRICT CENTRAL CO-OP BANK LTD.,853,19679.51,164,October,2024,Mobile Banking
5852,CITIZENCREDIT CO-OP. BANK LTD.,402157,649316.99,6221,October,2024,Mobile Banking
5853,"CITIZENS CO-OPERATIVE BANK LTD., RAJKOT",9155,903908.95,641,October,2024,Mobile Banking
5854,CITY UNION BANK,70619212,145953336.4,232274,October,2024,Mobile Banking
5855,COASTAL LOCAL AREA BANK LTD,7550,399542.24,1723,October,2024,Mobile Banking
5856,COL RD NIKAM SAINIK SAHAKARI BANK LTD.,197,2508.12,60,October,2024,Mobile Banking
5857,CONTAI CO-OPERATIVE BANK LTD.,51702,452063.97,364,October,2024,Mobile Banking
5858,DAKSHIN BIHAR GRAMIN BANK,51075,1442547.73,31093,October,2024,Mobile Banking
5859,DAPOLI URBAN CO-OP BANK LTD. DAPOLI,0,0,0,October,2024,Mobile Banking
5860,DAUSA URBAN COOPERATIVE BANK LTD,13688,228564.3,404,October,2024,Mobile Banking
5861,DBS BANK LIMITED,28433795,61195972.16,694338,October,2024,Mobile Banking
5862,DCB BANK LTD.,7889361,36750014.25,96392,October,2024,Mobile Banking
5863,DCCB SRIKAKULAM,1777,23645.67,903,October,2024,Mobile Banking
5864,DEENDAYAL NAGARI SAHKARI BANK LTD ;AMBAJOGAI,1575,80215.34,2078,October,2024,Mobile Banking
5865,DEOGIRI NAGARI SAHAKARI BANK LTD. AURANGABAD,34601,531867.48,2009,October,2024,Mobile Banking
5866,DEUTSCHE BANK,974993,4756294.27,34908,October,2024,Mobile Banking
5867,DHANERA MERCANTILE CO-OPERATIVE BANK LTD.,339895,2315584.6,951,October,2024,Mobile Banking
5868,DHANLAXMI BANK LIMITED,96166,4281562.16,35045,October,2024,Mobile Banking
5869,DINDIGUL CENTRAL COOPERATIVE BANK LTD,126,521.12,63,October,2024,Mobile Banking
5870,DMK JAOLI BANK LTD,13844,222439.43,2903,October,2024,Mobile Banking
5871,DOHA BANK QPSC,1773,86714.55,1308,October,2024,Mobile Banking
5872,DOMBIVLI NAGARI SAHAKARI BANK LTD.,4531092,8444803.3,446,October,2024,Mobile Banking
5873,DURGAPUR STEEL PEOPLES' CO-OP. BANK LTD.,1436,15704.07,520,October,2024,Mobile Banking
5874,EQUITAS SMALL FINANCE BANK LIMITED,333080,17122237.2,85885,October,2024,Mobile Banking
5875,ESAF SMALL FINANCE BANK,202177,5406208.29,51899,October,2024,Mobile Banking
5876,FEDERAL BANK LTD.,9836520,154818983.3,1724151,October,2024,Mobile Banking
5877,FINGROWTH CO-OPERATIVE BANK LTD.,18002,1273073.02,7811,October,2024,Mobile Banking
5878,FINO PAYMENTS BANK,160456053,79719284.56,4126638,October,2024,Mobile Banking
5879,G S MAHANAGAR CO-OP. BANK LTD.,131769,1612692.94,5848,October,2024,Mobile Banking
5880,G.P. PARSIK JANATA SAHAKARI BANK LTD.,5003975,8677882.43,9786,October,2024,Mobile Banking
5881,"GODAVARI URABN CO.OPERATIVE BANK LTD,NASHIK",363,4348.97,63,October,2024,Mobile Banking
5882,GUARDIAN SOUHARDA SAHAKARI BANK NIYAMITA ,1748,27712.72,2071,October,2024,Mobile Banking
5883,GUJARAT AMBUJA CO-OP BANK LTD,15535,250196.17,278,October,2024,Mobile Banking
5884,HDFC BANK LTD.,1333479412,4396289441,20680085,October,2024,Mobile Banking
5885,HIMACHAL PRADESH GRAMIN BANK,99706,24314651.74,55205,October,2024,Mobile Banking
5886,HIMATNAGAR NAGRIK SAHKARI BANK LTD,3584,532163.82,2842,October,2024,Mobile Banking
5887,HOOGHLY DISTRICT CENTRAL CO OPERATIVE BANK LTD,1198,13702.69,1044,October,2024,Mobile Banking
5888,HSBC ,12038663,55309543.59,227305,October,2024,Mobile Banking
5889,"HUTATMA SAHKARI BANK LTD., WALWA",1910,36398.79,221,October,2024,Mobile Banking
5890,ICICI BANK LTD,684537736,3662842556,16873962,October,2024,Mobile Banking
5891,IDBI BANK LTD,177160182,426717349.5,458217,October,2024,Mobile Banking
5892,IDFC FIRST BANK LTD.,105778127,562902756.7,1572776,October,2024,Mobile Banking
5893,INCOME TAX DEPARTMENT CO OP BANK LTD,1706,26147.26,497,October,2024,Mobile Banking
5894,INDIA POST PAYMENTS BANK LIMITED,20227279,30489592.88,1745830,October,2024,Mobile Banking
5895,INDIAN BANK,482285168,726494577.6,1655225,October,2024,Mobile Banking
5896,INDIAN OVERSEAS BANK,390341433,696943456.1,221471,October,2024,Mobile Banking
5897,INDORE CLOTH MARKET CO-OP. BANK LTD. ,5556,116214.8,779,October,2024,Mobile Banking
5898,INDORE PARASPAR SAHAKARI BANK LTD INDORE,28117,62580.22,1887,October,2024,Mobile Banking
5899,INDRAPRASTHA SEHKARI BANK LTD,3344,185237.47,379,October,2024,Mobile Banking
5900,INDRAYANI COPERATIVE BANK ,579,14672.87,125,October,2024,Mobile Banking
5901,INDUSIND BANK LTD,162251860,976850132.6,1192360,October,2024,Mobile Banking
5902,J & K GRAMEEN BANK,2557839,5506292.25,118303,October,2024,Mobile Banking
5903,J&K STATE CO-OPERATIVE BANK,6345,117522.39,3149,October,2024,Mobile Banking
5904,"JALGAON JANATA SAHAKARI BANK LTD., JALGAON",1349894,3252719.92,6041,October,2024,Mobile Banking
5905,"JALNA MERCHANTS CO OP BANK LTD., JALNA.",390413,973287.57,3487,October,2024,Mobile Banking
5906,JALORE NAGRIK SAHAKARI BANK LTD,2941,75118.84,433,October,2024,Mobile Banking
5907,JAMIA COOPERATIVE BANK LTD,3164,28217.06,494,October,2024,Mobile Banking
5908,JANA SMALL FINANCE BANK LIMITED,201313,6562310.04,337971,October,2024,Mobile Banking
5909,JANAKALYAN SAHAKARI BANK LTD.,38310,1008659.81,5614,October,2024,Mobile Banking
5910,JANASEVA SAHAKARI BANK LTD. PUNE,16257,484332.46,2542,October,2024,Mobile Banking
5911,JANATA CO OPERATIVE BANK LTD.MALEGAON,991,26972.4,581,October,2024,Mobile Banking
5912,"JANATA SAHAKARI BANK LTD, AJARA",806,28070.55,107,October,2024,Mobile Banking
5913,JANATHA SEVA BANK ,1516,59159.49,5104,October,2024,Mobile Banking
5914,JANTA SAHAKARI BANK PUNE,5306757,7700054.64,2324,October,2024,Mobile Banking
5915,JIJAMATA MAHILA SAH BANK LTD PUNE,153416,230468.35,262,October,2024,Mobile Banking
5916,JILA SAHAKARI KENDRIYA BANK MARYADIT DURG,420155,601886.77,2707,October,2024,Mobile Banking
5917,JILA SAHAKARI KENDRIYA BANK MARYADIT JAGDALPUR,1562,20356.04,569,October,2024,Mobile Banking
5918,JILA SAHAKARI KENDRIYA BANK MARYADIT KHARGONE,4482,249700.33,965,October,2024,Mobile Banking
5919,JILA SAHAKARI KENDRIYA BANK MYDT RAIPUR C.G.,1961,51049.9,1138,October,2024,Mobile Banking
5920,JIO PAYMENTS BANK LIMITED           ,25613130,16601535.95,216134,October,2024,Mobile Banking
5921,JIVAN COMMERCIAL CO-OPERATIVE BANK LIMITED,7266,307787.77,454,October,2024,Mobile Banking
5922,JODHPUR NAGRIK SAHAKARI BANK LTD.,26820,231061.59,2259,October,2024,Mobile Banking
5923,JOGINDRA CENTRAL COOPERATIVE BANK LTD. SOLAN H.P.,2814,94560.18,1458,October,2024,Mobile Banking
5924,JUGALKISHOR TAPDIYA SHREE MNAHESH UCBN LTD AURANGABAD ,279,5079.41,163,October,2024,Mobile Banking
5925,"KALLAPPANNA AWADE ICHALKARANJI JANATA SAH. BANK LTD., ICHALKARANJI",1217574,3630454.36,38604,October,2024,Mobile Banking
5926,KANKARIA MANINAGAR NAGRIK SAHAKARI BANK LTD.,81666,409403.21,3686,October,2024,Mobile Banking
5927,KANYAKUMARI DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,108,604.84,47,October,2024,Mobile Banking
5928,"KARNATAK CENTRAL CO-OP BANK LTD, DHARWAD",1865,71859.36,632,October,2024,Mobile Banking
5929,KARNATAKA BANK LTD,7995885,85496390.83,549670,October,2024,Mobile Banking
5930,KARNATAKA GRAMIN BANK,29962936,44693857.82,11986,October,2024,Mobile Banking
5931,KARNATAKA VIKAS GRAMEEN BANK ,14299494,15073119.6,265226,October,2024,Mobile Banking
5932,KARUR VYSYA BANK LTD,76452347,247466374.3,322029,October,2024,Mobile Banking
5933,KERALA GRAMIN BANK ,68605822,87642737.52,21005,October,2024,Mobile Banking
5934,KERALA STATE CO-OPERATIVE BANK LTD.,144499,6806799.27,30009,October,2024,Mobile Banking
5935,KHARDAH CO-OPERATIVE BANK LTD. ,283,4877.09,384,October,2024,Mobile Banking
5936,KOILKUNTLA CO OPERATIVE BANK PVT LTD,205,3101.84,109,October,2024,Mobile Banking
5937,KOKAN MERCANTILE CO-OP BANK LTD,14736,367836.89,2422,October,2024,Mobile Banking
5938,KOLHAPUR MAHILA SAHAKARI BANK LTD,1066,40670.38,968,October,2024,Mobile Banking
5939,KOPARGAON PEOPLES CO OP BANK LTD,37992,210076.83,614,October,2024,Mobile Banking
5940,KOTA NAGRIK SAHKARI BANK LTD,295,7399.42,201,October,2024,Mobile Banking
5941,KOTAK MAHINDRA BANK LTD,779340838,1712901309,16819485,October,2024,Mobile Banking
5942,"KOYANA SAHAKARI BANK LTD., KARAD",31480,48677.14,15,October,2024,Mobile Banking
5943,KRISHNA BHIMA SAMRUDDHI LOCAL AREA BANK,2857,56338.59,1269,October,2024,Mobile Banking
5944,KRISHNA SAHAKARI BANK LTD.RATHARE BK.,3510,49974.83,800,October,2024,Mobile Banking
5945,"L.I.C. EMPLOYEES' CO-OPERATIVE BANK LTD.,UDUPI",682,12752.66,1270,October,2024,Mobile Banking
5946,LAKHIMPUR URBAN CO-OP.BANK LTD.,18954,59961.92,1719,October,2024,Mobile Banking
5947,"LATUR URBAN CO-OP. BANK LTD., LATUR",48804,1515122.76,4031,October,2024,Mobile Banking
5948,LAXMI URBAN CO-OP BANK LTD LATUR,52522,227082.27,1279,October,2024,Mobile Banking
5949,"LOKNETE DATTAJI PATIL SAHKARI BANK LTD,LASALGAON ",807,8481.09,173,October,2024,Mobile Banking
5950,LOKVIKAS NAGARI SAHAKARI BANK LTD. AURANGABAD,175268,165436.09,1056,October,2024,Mobile Banking
5951,LONAVALA SAHAKARI BANK LTD,2454,69719.99,340,October,2024,Mobile Banking
5952,M S CO-OPERATIVE BANK LIMITED ,2777,100997.36,600,October,2024,Mobile Banking
5953,MADURAI DISTRICT CENTRAL CO-OPERATIVE BANK LTD,266,2560.06,206,October,2024,Mobile Banking
